iter	Passed	Remaining
805	27860	6705
806	27904	6673
807	27932	6637
808	27949	6598
809	27994	6566
810	28022	6530
811	28052	6494
812	28084	6459
813	28112	6423
814	28144	6388
815	28192	6357
816	28218	6320
817	28248	6285
818	28265	6246
819	28285	6208
820	28311	6172
821	28328	6134
822	28356	6098
823	28388	6063
824	28404	6025
825	28431	5989
826	28448	5951
827	28483	5916
828	28502	5879
829	28521	5841
830	28549	5806
831	28567	5768
832	28599	5733
833	28630	5698
834	28650	5661
835	28681	5626
836	28713	5591
837	28742	5556
838	28773	5521
839	28802	5486
840	28831	5450
841	28865	5416
842	28906	5383
843	28935	5348
844	28968	5313
845	29016	5282
846	29042	5246
847	29071	5210
848	29105	5176
849	29131	5140
850	29162	5106
851	29209	5073
852	29254	5041
853	29306	5010
854	29327	4973
855	29360	4939
856	29390	4904
857	29417	4868
858	29477	4838
859	29496	4801
860	29512	4764
861	29567	4733
862	29583	4696
863	29600	4659
864	29628	4624
865	29657	4588
866	29703	4556
867	29718	4519
868	29735	4482
869	29761	4447
870	29806	4414
871	29841	4380
872	29856	4343
873	29882	4308
874	29912	4273
875	29930	4236
876	29958	4201
877	29988	4166
878	30016	4131
879	30047	4097
880	30078	4062
881	30108	4028
882	30137	3993
883	30168	3958
884	30197	3923
885	30228	3889
886	30259	3854
887	30286	3819
888	30303	3783
889	30324	3748
890	30346	3712
891	30374	3677
892	30408	3643
893	30446	3609
894	30471	3574
895	30494	3539
896	30524	3504
897	30541	3469
898	30565	3433
899	30598	3399
900	30623	3364
901	30654	3330
902	30700	3297
903	30716	3261
904	30749	3227
905	30774	3192
906	30806	3158
907	30834	3124
908	30865	3089
909	30909	3056
910	30943	3023
911	30970	2988
912	31017	2955
913	31045	2921
914	31077	2886
915	31107	2852
916	31139	2818
917	31185	2785
918	31215	2751
919	31241	2716
920	31272	2682
921	31320	2649
922	31348	2615
923	31382	2581
924	31409	2546
925	31430	2511
926	31455	2477
927	31485	2442
928	31515	2408
929	31546	2374
930	31576	2340
931	31606	2306
932	31650	2272
933	31680	2238
934	31695	2203
935	31726	2169
936	31772	2136
937	31788	2101
938	31829	2067
939	31860	2033
940	31889	1999
941	31919	1965
942	31952	1931
943	31978	1897
944	31994	1862
945	32012	1827
946	32039	1793
947	32068	1759
948	32101	1725
949	32129	1691
950	32160	1657
951	32188	1622
952	32208	1588
953	32234	1554
954	32278	1520
955	32295	1486
956	32314	1451
957	32343	1417
958	32359	1383
959	32412	1350
960	32445	1316
961	32470	1282
962	32502	1248
963	32530	1214
964	32561	1180
965	32578	1146
966	32607	1112
967	32636	1078
968	32664	1045
969	32710	1011
970	32752	978
971	32786	944
972	32813	910
973	32859	877
974	32889	843
975	32919	809
976	32949	775
977	32981	741
978	33009	708
979	33038	674
980	33082	640
981	33116	607
982	33146	573
983	33175	539
984	33224	505
985	33268	472
986	33283	438
987	33311	404
988	33339	370
989	33387	337
990	33418	303
991	33443	269
992	33475	235
993	33493	202
994	33516	168
995	33550	134
996	33581	101
997	33611	67
998	33641	33
999	33660	0
